Country,Year,Access to electricity (% of population),"Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),Total greenhouse gas emissions (kt of CO2 equivalent),Renewable energy consumption (% of total final energy consumption),Renewable electricity output (% of total electricity output),Land Surface Temperature
Burundi,2022-01-01,,,,,,,
Burundi,2021-01-01,10.2338275909424,,,,83.25,,27.6898651
Burundi,2020-01-01,9.1,2.78429423459245,0.0583840218352736,4102.678292,83.52,,27.4368498
Burundi,2019-01-01,9.83940029144287,2.78429423459245,0.0595713389942667,4215.238066,84.84,,27.4402502
Burundi,2018-01-01,9.50929260253906,2.78429423459245,0.057850230113233,4518.56764,85.65,,27.813743
Burundi,2017-01-01,9.3,2.78429423459245,0.0474291236691765,4289.286314,88.19,,28.0616281
Burundi,2016-01-01,8.47799873352051,2.78429423459245,0.0405380853018533,3668.841788,89.58,,28.8132642
Burundi,2015-01-01,7.89011478424072,2.78429423459245,0.0341936179122354,3247.309761,91.18,82.7093851288663,28.1887266
Burundi,2014-01-01,7.0,2.78429423459245,0.0347596973886301,3242.800609,91.31,80.7187888270213,27.4365444
Burundi,2013-01-01,6.9,2.78429423459245,0.0361000266316517,3244.959156,91.11,87.02056925233,27.9377777
Burundi,2012-01-01,6.5,2.78429423459245,0.0371804176191894,2863.239604,91.47,97.9618194008257,27.4370333
Burundi,2011-01-01,6.15572309494019,2.78429423459245,0.0379981118333185,2782.874151,91.66,90.8573088394698,26.9360911
Burundi,2010-01-01,5.3,2.78429423459245,0.0354239062608714,2560.792699,92.58,87.6533996099443,28.5644915
Burundi,2009-01-01,5.38613891601563,2.78429423459245,0.0227456280973839,2234.548495,95.18,96.3936374817371,27.8120803
Burundi,2008-01-01,4.8,2.78429423459245,0.0240030664007927,2084.470392,95.15,98.2423608608917,27.4364697
Burundi,2007-01-01,4.65474510192871,2.78429423459245,0.0241799187348301,1952.851988,95.29,98.3257854159168,27.3108354
Burundi,2006-01-01,2.66,2.78429423459245,0.0250189666226615,1880.290385,95.31,97.9013641133263,28.1877099
Burundi,2005-01-01,3.20731707317073,2.78429423459245,0.0217895175909076,1734.091681,96.01,98.0449657869013,28.1885401
Burundi,2004-01-01,3.69034385681152,2.8,0.0224141689005934,1675.793567,96.04,97.8632478632479,28.1882611
Burundi,2003-01-01,3.40113353729248,2.81570576540755,0.0249531909038623,1616.499052,95.76,98.0676328502416,27.813202
Burundi,2002-01-01,3.11739039421082,2.83141153081511,0.032802230972826,1629.591737,94.65,98.4532095901005,28.1874335
Burundi,2001-01-01,2.83210754394531,2.84711729622266,0.0325098685701179,1639.972123,94.84,98.2905982905983,26.561681
Burundi,2000-01-01,2.53827786445618,2.86282306163022,0.0416319271539568,1659.560708,93.23,98.019801980198,30.1871061
Burundi,1999-01-01,2.07094931602478,2.71907019383698,0.0378306133478313,1602.522949,93.75,98.0,
Burundi,1998-01-01,3.9,2.57531732703777,0.038523098947201,1566.03269,93.25,98.2142857142857,
Burundi,1997-01-01,,2.43156445924453,0.0381845492011799,1540.330358,93.39,98.3606557377049,
Burundi,1996-01-01,,2.28781159244533,0.0376527672929144,1492.285426,93.49,98.3333333333333,
Burundi,1995-01-01,,2.14405872465209,0.036559570778166,1491.162194,93.73,98.3333333333333,
Burundi,1994-01-01,,2.00030585685885,0.0376986428488574,1442.494285,93.94,98.2905982905983,
Burundi,1993-01-01,,1.85655299005964,0.0379102897815028,1545.279176,93.98,98.1981981981982,
Burundi,1992-01-01,,1.7128001222664,0.0350334358624328,1563.647567,94.27,98.1308411214953,
Burundi,1991-01-01,,1.56904725447316,0.0410379014332523,1568.833158,93.5,98.5294117647059,
Burundi,1990-01-01,,1.42529438767396,0.0342098981489637,1507.640349,94.64,98.1818181818182,
Burundi,1989-01-01,,1.28154151988072,,,,,
Burundi,1988-01-01,,1.13778865308151,,,,,
Burundi,1987-01-01,,0.99403578528827,,,,,
Burundi,1986-01-01,,,,,,,
Burundi,1985-01-01,,,,,,,
Burundi,1984-01-01,,,,,,,
Burundi,1983-01-01,,,,,,,
Burundi,1982-01-01,,,,,,,
Burundi,1981-01-01,,,,,,,
Burundi,1980-01-01,,,,,,,
Burundi,1979-01-01,,,,,,,
Burundi,1978-01-01,,,,,,,
Burundi,1977-01-01,,,,,,,
Burundi,1976-01-01,,,,,,,
Burundi,1975-01-01,,,,,,,
Burundi,1974-01-01,,,,,,,
Burundi,1973-01-01,,,,,,,
Burundi,1972-01-01,,,,,,,
Burundi,1971-01-01,,,,,,,
Burundi,1970-01-01,,,,,,,
Burundi,1969-01-01,,,,,,,
Burundi,1968-01-01,,,,,,,
Burundi,1967-01-01,,,,,,,
Burundi,1966-01-01,,,,,,,
Burundi,1965-01-01,,,,,,,
Burundi,1964-01-01,,,,,,,
Burundi,1963-01-01,,,,,,,
Burundi,1962-01-01,,,,,,,
Burundi,1961-01-01,,,,,,,
Burundi,1960-01-01,,,,,,,
Djibouti,2022-01-01,,,,,,,
Djibouti,2021-01-01,65.4412536621094,,,,30.94,,41.1891219
Djibouti,2020-01-01,64.5011520385742,6.33333333333333,0.392329171237878,1394.763044,31.91,,40.9396668
Djibouti,2019-01-01,64.7,6.33333333333333,0.398763866464803,1388.224359,26.99,,40.687719
Djibouti,2018-01-01,62.408332824707,6.33333333333333,0.392452501801933,1367.777974,26.28,,39.936257
Djibouti,2017-01-01,60.2,6.33333333333333,0.387797733776952,1349.732889,24.35,,40.561887
Djibouti,2016-01-01,59.8381195068359,6.33333333333333,0.386480086703197,1340.937804,25.06,,40.937946
Djibouti,2015-01-01,59.1333770751953,6.33333333333333,0.443772428370827,1382.482818,28.24,0.0,41.1876218
Djibouti,2014-01-01,58.8877296447754,6.33333333333333,0.406607305525196,1329.890501,30.91,0.0,40.4380036
Djibouti,2013-01-01,58.6371040344238,6.33333333333333,0.575032955905462,1477.726884,34.42,0.0,39.8132843
Djibouti,2012-01-01,54.6,6.33333333333333,0.516191500130463,1405.544167,34.09,0.0,39.8141929
Djibouti,2011-01-01,58.1238250732422,6.33333333333333,0.506932561637299,1376.49825,34.62,0.0,40.3163406
Djibouti,2010-01-01,57.8680686950684,6.33333333333333,0.564730814546143,1415.112033,32.54,0.0,39.9367742
Djibouti,2009-01-01,57.6180229187012,6.33333333333333,0.516589113564154,1356.538371,34.38,0.0,40.4350702
Djibouti,2008-01-01,57.3775215148926,6.33333333333333,0.537215450239329,1358.596909,33.14,0.0,40.6864237
Djibouti,2007-01-01,57.1504096984863,6.33333333333333,0.543460672495019,1349.493447,32.52,0.0,40.5647783
Djibouti,2006-01-01,55.5,6.33333333333333,0.510775762828135,1305.722785,33.01,0.0,40.1879548
Djibouti,2005-01-01,56.7514762878418,6.33333333333333,0.51669292456861,1307.523222,33.09,0.0,40.1858488
Djibouti,2004-01-01,56.5816841125488,6.33333333333333,0.483642544414344,1269.193209,33.62,0.0,40.8135335
Djibouti,2003-01-01,56.4243621826172,6.33333333333333,0.513881879091431,1277.670096,32.88,0.0,39.8125601
Djibouti,2002-01-01,49.7,6.33333333333333,0.50638108598214,1257.473482,32.44,0.0,40.8145497
Djibouti,2001-01-01,56.1191177368164,6.33333333333333,0.491841826803747,1230.304169,31.68,0.0,41.3133627
Djibouti,2000-01-01,55.9571800231934,6.33333333333333,0.503212121293797,1221.999956,31.44,0.0,42.3152453
Djibouti,1999-01-01,56.3451690673828,6.0888889,0.546727627329987,1234.04644,29.58,0.0,
Djibouti,1998-01-01,56.3222541809082,5.8111111,0.566683934841421,1200.006823,29.6,0.0,
Djibouti,1997-01-01,56.2944946289063,5.6,0.496865762384956,1118.821107,32.04,0.0,
Djibouti,1996-01-01,62.0,5.35555556666667,0.459164599650352,1069.395491,33.97,0.0,
Djibouti,1995-01-01,,5.1111111,0.501573173617696,1054.249475,32.22,0.0,
Djibouti,1994-01-01,,4.83333333333333,0.473954933381664,985.21984,32.41,0.0,
Djibouti,1993-01-01,,4.62222223333333,0.500301849873452,972.855364,31.17,0.0,
Djibouti,1992-01-01,,4.37777776666667,0.488609540803309,955.287388,30.26,0.0,
Djibouti,1991-01-01,,4.13333333333333,0.458536787155879,933.862812,30.14,0.0,
Djibouti,1990-01-01,,3.8888889,0.474900939579641,912.456036,29.65,0.0,
Djibouti,1989-01-01,,3.64444443333333,,,,,
Djibouti,1988-01-01,,3.4,,,,,
Djibouti,1987-01-01,,3.15555556666667,,,,,
Djibouti,1986-01-01,,2.9111111,,,,,
Djibouti,1985-01-01,,2.66666666666667,,,,,
Djibouti,1984-01-01,,,,,,,
